true_label,pred_label,entropy,prob_class_0,prob_class_1,prob_class_2,prob_class_3,text
3,1,1.9995508,0.24457459,0.2601842,0.24514985,0.25009128,"Mozilla Launching Second Act with E-Mail Client (Ziff Davis) - Ziff Davis - Fresh from its Web browser buzz, the open-source group takes on Microsoft with an e-mail application release. Can it repeat its Firefox success?"
2,2,1.9995354,0.25156623,0.2460182,0.25958374,0.24283184,PeopleSoft shareholders support Oracle takeover - Ongoing battle between rival software makers enters new stage. Board has vowed to continue resistance. By Michael Liedtke. SAN FRANCISCO -- More than 60 percent of PeopleSoft Inc.
3,0,1.9995314,0.25898376,0.2424601,0.24580455,0.2527516,"Study: Workers Find IM a Mixed Blessing - A report released Thursday by the Pew Internet and American Life Project says US workers are increasingly using instant messaging (IM) in the workplace, with approximately 11 million Americans logging into an IM program daily."
3,2,1.9994376,0.24144506,0.25653195,0.25720808,0.24481489,"Time Warner  Settles AOL Cases For  #36;510 Million (washingtonpost.com) - washingtonpost.com - Time Warner Inc. yesterday agreed to pay  #36;510 million to settle criminal and civil charges stemming from an accounting scandal at its America Online division, moving to end a messy affair that tarnished its image and impeded its business after its merger with AOL in 2001."
0,1,1.9993404,0.24843569,0.26045564,0.2517635,0.23934521,Newmont Considers Suit Over Jailed Execs (AP) - AP - Newmont Mining Co. officials said Wednesday they are considering a lawsuit against Indonesian police over the jailing of five company executives during a pollution investigation.
2,2,1.9989216,0.24998774,0.23991117,0.26563838,0.24446274,"Pixar Guides Higher - The producer of  quot;The Incredibles quot; and  quot;Finding Nemo quot; also said Thursday that it was entertaining the idea of shifting its schedule back six months, so that its movies -- released at the pace of once a year -- would debut during summer vacation rather than "
3,3,1.9986286,0.23446372,0.2568832,0.24575016,0.26290298,Nvidia to power next Sony console - Sony Computer Entertainment Inc and Nvidia have announced they are working together on the GPU for SCEI #39;s next generation entertainment device.
3,1,1.9986192,0.25948945,0.26088646,0.23434338,0.24528067,Microsoft Patches Critical XP Firewall Flaw (NewsFactor) - NewsFactor - Microsoft (Nasdaq: MSFT) has released a patch for a potentially serious configuration flaw in the firewall that ships with the company's Windows XP Service Pack 2.
3,0,1.9984473,0.26220214,0.23721182,0.26090634,0.23967974,"Your Daily Tech News Service... - GamePC have thrown up their review of Microsoft #39;s Windows XP Media Center Edition 2005! Here #39;s a snip. Windows XP Media Center Edition was originally launched roughly two years ago, and was the first variant "
2,2,1.9982872,0.25067055,0.24644929,0.26845822,0.23442198,"JP Morgan KOs \$5 Bln IBM Outsourcing Deal - JP Morgan Chase  amp; Co. (JPM.N: Quote, Profile, Research) , said on Wednesday it was scrapping a \$5 billion outsourcing deal with IBM Corp."
2,1,1.9978257,0.23114914,0.26784316,0.25672942,0.24427833,"Today 121 articles about Russia appeared worldwide - YUKOS petition for bankruptcy protection was lodged to the US court to protect reputation of foreign managers, wont held the holders, M. Khodorkovsky said."
2,3,1.9973574,0.22530785,0.25112462,0.25945318,0.2641143,"Korean FTA concludes, progress with India - FROM today, almost 75 per cent of Singapore #39;s domestic exports to South Korea, which amount to more than \$3 billion, will enjoy immediate tariff elimination."
3,1,1.9973525,0.24225706,0.2742175,0.25031674,0.23320872,"Expense Issue Draws Mixed Views From Companies - The debate over whether companies should  treat stock options as an expense draws mixed reactions from Washington area businesses, some of which have a lot to lose if the accounting rule changes."
0,1,1.9969133,0.24359187,0.27565458,0.25027823,0.23047529,Laws to cut California car gases - Officials in Californian announce tough new regulations to stem the emission of greenhouse gases from cars.
3,0,1.9967619,0.2695948,0.260771,0.2260723,0.24356203,"""Hobbit"" Discovered: Tiny Human Ancestor Found in Asia - Scientists have found fossil skeletons of a human species that grew no larger than a three-year-old modern child. The species lived with pygmy elephants and Komodo dragons on a remote island in Indonesia."
3,0,1.9967468,0.26392838,0.25821447,0.22170493,0.25615227,"China Offers Rewards for Reporting Online Porn - China's police ministry on Sunday handed out rewards of up to \$240 to people who reported pornographic Web sites in a campaign to stamp out online smut, the government said."
3,1,1.9967451,0.23053154,0.27483803,0.23939204,0.2552384,Astronomers see galactic dance - Astronomers reveal one of the clearest images obtained of Stephan's Quintet.
1,2,1.9967407,0.23957919,0.25228167,0.27638578,0.2317533,"Instant Analysis: Upsets  amp; more - When a huge upset happens, the easy tendency is to assume that the game was a fluke, that if repeated several times, the result would be drastically different."
2,1,1.9967088,0.23027132,0.27622935,0.25193328,0.2415661,"UNCTAD stresses importance of policies in attracting FDI in &lt;b&gt;...&lt;/b&gt; - Caution is necessary when attracting foreign direct investment (FDI) in services and it #39;s important to have the right mix of policies, the United Nations Conference on Trade "
2,2,1.9965165,0.24923907,0.26359084,0.2649965,0.22217359,Martha Stewart #39;s Lawyers File Appeal - NEW YORK -- Lawyers for Martha Stewart have told a federal appeals court that she suffered a  quot;fundamentally unfair quot; trial at the hands of prosecutors who incorrectly suggested she was accused of insider trading.
2,0,1.9963366,0.2775283,0.25434163,0.23359929,0.23453076,"Examiners Asked to Wait Before Taking Bank Jobs - The nation's top bank regulator asked examiners to avoid going to work for banks they supervise for at least a year after leaving the government, but acknowledged he lacks the authority to make such a restriction mandatory."
3,1,1.996185,0.22328895,0.2742179,0.2535216,0.24897145,Scientist Envisions Small-Scale Hydropower (AP) - AP - A scientist says the United States could more than double its hydropower supply by harnessing the energy of smaller streams.
2,1,1.9959034,0.2198563,0.26956517,0.2505764,0.26000214,Sprint Near Deal to Buy Nextel for \$34 Billion - Sprint is near a deal to acquire Nextel Communications for more than \$34 billion in a transaction that would lead to further consolidation in the rapidly changing telecommunications industry 
2,1,1.9958165,0.24134101,0.27838072,0.254001,0.22627732,"Stewart Enters Prison - She arrived at 6.15 am, Friday at the Alderson Federal Prison Camp, according to an announcement by the US Bureau of Prisons. She put out the news first, on her Marthatalks."
0,1,1.9956808,0.2556125,0.2786765,0.23861828,0.22709267,"David Hare Sees How War Plays on World Stage -   LONDON -- ""Stuff happens!"" Donald Rumsfeld once exclaimed in response to a reporter's question about the looting of Baghdad after the U.S. invasion of Iraq in 2003. ""Freedom's untidy,"" he went on to explain, ""and free people are free to make mistakes and commit crimes and do bad things. They're also free to love their lives and do wonderful things, and that's what's going to happen here."""
3,1,1.9956089,0.2638918,0.26906413,0.24756335,0.21948072,"Tech CEOs chat about new products, globalization (USATODAY.com) - USATODAY.com - The economic rebound might be sluggish, but technology investments matter more than ever. That's what three of the industry's biggest CEOs told 6,500 attendees last week at the Gartner Symposium and Information Technology Expo, one of the biggest annual gatherings of tech professionals. Cisco Systems CEO John Chambers, Intel CEO Craig Barrett and Sun Microsystems CEO Scott McNealy also met with USA TODAY reporter Michelle Kessler to sound off on new technologies, stock options and globalization. Here's what they had to say, edited for clarity and space."
3,2,1.9955525,0.22526321,0.26853243,0.26983833,0.236366,"Review: Hi-Def TV May Be PCs' Killer App (AP) - AP - It's been possible for years to watch television on a personal computer, but not many people do. The reasons are simple: mediocre picture and sound quality and the ergonomics of it all. TVs don't need to boot up."
2,2,1.9953601,0.21852382,0.26684904,0.26718268,0.24744442,"SEC Leaves Google Waiting on IPO Go Ahead -  NEW YORK/WASHINGTON (Reuters) - U.S. securities regulators  on Tuesday did not give Google Inc. the green light it needs to  price its initial public offering, extending the wait for its  highly anticipated market debut."
0,0,1.9952937,0.26664743,0.25206083,0.2644422,0.21684954,Yen Rises on Corporate Sentiment Poll - The yen rose on Friday after the Bank of Japan #39;s closely watched  quot;tankan quot; survey showed further improvement in Japanese business sentiment.
3,1,1.9952607,0.26584804,0.26944304,0.2458126,0.21889631,"Siemens Clocks Record Speed in Wireless Race -  quot;There #39;s a whole lot of factors that impact statements on speed, and the companies never include them. How far was it transmitted?"
2,2,1.9952127,0.22250195,0.23909627,0.27346733,0.2649344,"US existing home sales surge 3.1 percent in September - Existing home sales in the Unites States surged 3.1 percent in September to a seasonally adjusted annual rate of 6.75 million units, the third highest level on record, the "
0,1,1.9951446,0.21625902,0.2696449,0.25429866,0.25979745,Mobile multimedia slow to catch on - Mobile phone firms face a series of hurdles if they want to get their customers using their funky new handsets.
3,3,1.9950126,0.2441809,0.23810993,0.2319988,0.28571042,"BellSouth Uses New Cisco Routers to Reach SMBs, Branches - BellSouth today announced it will use the routers that Cisco launched today to allow small and medium businesses and enterprise branches to receive cost-effective access to VoIP, call and content management, security and other applications previously "
2,1,1.994926,0.21872714,0.2747576,0.26112399,0.24539118,BT Linked to US Acquisition - Telecoms group BT was today being linked to a surprise return to the US market after a report said it was about to make a one billion US dollar acquisition.
2,2,1.9948734,0.21560769,0.2586144,0.27133107,0.25444686,"Middle-Class Tax Cuts Extension Approved - WASHINGTON Sept. 23, 2004 - Legislation to extend several popular middle class tax cuts cleared a House-Senate conference and could be on President Bush #39;s desk within days, handing him a major legislative "
3,1,1.9945667,0.23814298,0.2817116,0.256679,0.2234665,"Nintendo sells 500,000 DS handhelds in first week - Nintendo sold 500,000 Nintendo DS video game devices during the first week of sales in US stores for the new handheld featuring two screens for game playing, the Japanese game maker said Wednesday."
1,0,1.9945337,0.27431706,0.2596766,0.2502336,0.2157727,"Wenger fury at  #39;cheating #39; star - Arsene Wenger has called on the FA to look again at Ruud van Nistelrooy #39;s controversial challenge on Ashley Cole at Old Trafford yesterday, which BBC pundit Alan Hansen labelled  quot;a disgrace quot;."
2,1,1.9945195,0.21864933,0.2776069,0.25996622,0.2437775,20 7E7s ordered - A startup company becomes the first domestic airline to place an order for the Boeing jet. By Bryan Corliss. An airline that started service six months ago with just one jet plans to buy 20 7E7s from the Boeing Co.
3,1,1.9944041,0.24245198,0.28724384,0.24231331,0.2279909,"Olympus flashes music player-camera combo - com October 15, 2004, 10:55 AM PT. Japanese camera giant Olympus this week unveiled a portable hard drive music player that can also function as a camera."
3,1,1.9943945,0.23966393,0.2874457,0.22881709,0.24407336,"Global warming accelerates arctic melt - Northern ice cap is warming at twice the global rate and that will lead to serious consequences for the planet, according to the eight-nations scientific report."
