iteration,labeled_samples,f1,accuracy,precision,recall,test_accuracy,test_f1,utility,token_cost,added_human_samples,added_llm_samples,audit_sample_size,agreement_rate,failure_rate,audit_avg_confidence
1,300,0.7283377032902131,0.7284895833333334,0.7309673178023793,0.7284895833333334,0.7278333333333333,0.727590218184821,0.7278333333333333,0.0,40,120,30,0.7666666666666667,0.23333333333333334,0.7716666666666664
2,460,0.7516203966324175,0.7528125,0.7513318283351363,0.7528125,0.7555,0.7544326698831675,0.7554919852499999,0.016029500000000002,40,120,30,0.9666666666666667,0.03333333333333333,0.9249999999999997
3,620,0.772584079644868,0.7736979166666667,0.7725487323349648,0.7736979166666668,0.7761666666666667,0.7753433557149878,0.7761508141666666,0.031705000000000004,40,120,30,0.8,0.2,0.7933333333333331
4,780,0.7856172282257874,0.7880729166666667,0.7873075860873809,0.7880729166666667,0.7902083333333333,0.7880915992396575,0.7901844460833333,0.047774500000000004,40,120,30,0.5,0.5,0.5699999999999998
5,940,0.79768727270545,0.7994791666666666,0.7983955789027181,0.7994791666666666,0.8047083333333334,0.8032162254699159,0.8046762070833333,0.0642525,40,120,30,0.6333333333333333,0.36666666666666664,0.6683333333333331
6,1100,0.8056557077972649,0.8071354166666667,0.8067704983987203,0.8071354166666667,0.8103333333333333,0.8090597009920945,0.8102934920833333,0.0796825,40,120,30,0.5666666666666667,0.43333333333333335,0.6016666666666666
7,1260,0.8118722681098928,0.8134895833333333,0.812765902286959,0.8134895833333332,0.8174166666666667,0.8160730225642399,0.8173687304166667,0.0958725,40,120,30,0.6,0.4,0.63
8,1420,0.8181931921679131,0.8199479166666667,0.8193909561275743,0.8199479166666667,0.821375,0.8198399934161279,0.82131858325,0.1128335,40,120,30,0.8,0.2,0.7949999999999998
9,1580,0.8203318580288876,0.8219270833333333,0.8216175760401534,0.8219270833333333,0.8252916666666666,0.8239485214314688,0.8252271126666666,0.129108,40,120,30,0.5,0.5,0.5483333333333332
10,1740,0.8211581116233904,0.82296875,0.8229633754846583,0.82296875,0.8260833333333333,0.8244840866329357,0.8260108235833333,0.1450195,40,120,30,0.5666666666666667,0.43333333333333335,0.6216666666666665
11,1900,0.8254365237856979,0.8269270833333333,0.8268207231519367,0.8269270833333333,0.8325416666666666,0.8312963078720983,0.8324610741666666,0.161185,0,0,0,,,
