true_label,pred_label,entropy,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,text
1,4,2.5823355,0.15093441,0.17030115,0.17195205,0.16057163,0.1830696,0.16317113,What is the recipe or formula for Coca-Cola ?
1,4,2.581611,0.15397775,0.1558581,0.17318214,0.16344082,0.18798013,0.16556105,What sign is The Water Carrier the zodiacal symbol for ?
4,4,2.5803804,0.1558152,0.16677089,0.16045462,0.15578476,0.19531728,0.16585723,Where can I find the lyrics for the song ` Getting Married Today ' from the musical ` Company ' ?
0,4,2.5794518,0.16652405,0.1798223,0.1734714,0.15501308,0.18334627,0.14182301,What is the acronym for the rating system for air conditioner efficiency ?
4,4,2.5790555,0.15421154,0.17897773,0.17721923,0.13968655,0.17969117,0.17021383,Where can I find the schematics to the windshield wiper mechanism ?
1,1,2.57835,0.16942957,0.18417458,0.18327995,0.14206894,0.17133541,0.14971147,What is a camel hair brush actually made out of ?
1,3,2.5775402,0.18132989,0.15669204,0.15600988,0.18428679,0.18187553,0.13980591,What is the correct way to use `` may '' vs. `` might '' ?
4,4,2.5764904,0.14974253,0.1614733,0.18157667,0.14837043,0.19952543,0.15931156,What is the highest mountain in the world ?
0,2,2.5763838,0.17534238,0.16748826,0.19701557,0.1378086,0.16780815,0.15453704,What is BPH ?
0,4,2.5763774,0.17983055,0.17084162,0.1500218,0.17373824,0.18916021,0.1364076,What is the abbreviated expression for the National Bureau of Investigation ?
3,4,2.576328,0.14690456,0.17500508,0.15864177,0.16844194,0.20159228,0.14941436,Name the person who burst through the screen in the Lite beer commercials .
3,3,2.5762568,0.17538622,0.15540795,0.15642476,0.19870472,0.17303985,0.1410365,Who declared : `` I am down on whores and I shan 't stop ripping them '' ?
4,4,2.57611,0.14110477,0.17654581,0.18198825,0.14707659,0.19185317,0.16143131,"What islands got their name from the Spanish baja mar , meaning shallow water ?"
5,4,2.575873,0.14500177,0.14379613,0.16353203,0.17130065,0.19708844,0.17928097,How many stations do you shoot from in the basketball game `` Around the World '' ?
2,3,2.575654,0.16150881,0.16409747,0.1506453,0.19563107,0.18669012,0.14142716,What is the origin of the word Marijuana ?
4,2,2.5750172,0.13790622,0.16722706,0.18987504,0.14418869,0.1822145,0.17858844,Where are some great educational resources for parents and teachers ?
4,4,2.5749967,0.14005971,0.16571021,0.17083217,0.15049917,0.2033577,0.16954108,"What country covers 8 , 600 , 387 square miles ?"
1,3,2.5746863,0.15056056,0.15888548,0.15897404,0.19507171,0.19297276,0.14353547,What Aesop 's fable has the moral : `` The race is not always to the swift. Slow and steady is bound to win '' ?
4,4,2.5741527,0.14068125,0.15752247,0.18637764,0.14548078,0.19573899,0.17419888,What are the names of the tourist attractions in Reims ?
5,2,2.573796,0.13082168,0.18205896,0.18234567,0.1468658,0.1756938,0.18221408,What 's a perfect score in a gymnastics exercise ?
1,4,2.573591,0.14016561,0.1755808,0.18493015,0.1409329,0.19522965,0.16316088,What are the languages spoken by the natives in Afghanistan ?
0,2,2.5735896,0.19043024,0.14889191,0.19580515,0.15311897,0.17160748,0.1401463,What is DEET ?
2,2,2.5735886,0.15648058,0.15505035,0.20588006,0.13880484,0.178179,0.16560513,What is amezaiku ?
2,2,2.573577,0.15136191,0.17683904,0.20046844,0.14098047,0.18112421,0.14922597,What is a common dolphin ?
2,2,2.5734785,0.14133936,0.17478539,0.19380444,0.13678542,0.17074662,0.18253872,How do you do a topic outline ?
0,4,2.5732126,0.17781642,0.15125212,0.15958309,0.17973457,0.19824459,0.1333692,What is the abbreviation of the International Olympic Committee ?
1,4,2.5725033,0.16080396,0.14340992,0.18487687,0.16090283,0.2055418,0.1444647,What is Grenada 's main commodity export ?
5,4,2.5723796,0.13127673,0.17105652,0.1787818,0.14472952,0.19410181,0.18005365,What year is etched on the Gold Medal of Excellence from the Paris Exposition depicted on a can of Campbell 's tomato soup ?
4,4,2.5722973,0.14378436,0.14656219,0.16458932,0.16950601,0.21248892,0.16306926,What is the largest city in the world ?
3,1,2.5721648,0.13131821,0.18695362,0.18024573,0.14147775,0.18305561,0.1769491,What organization has a Security Council ?
1,5,2.5721195,0.12526093,0.17880338,0.1585021,0.16233526,0.18405023,0.19104803,What religion has the most members ?
5,4,2.5719228,0.122889094,0.15973291,0.17478982,0.17274883,0.19268651,0.17715284,About how many soldiers died in World War II ?
1,1,2.5716836,0.14303187,0.2057181,0.16377157,0.13734971,0.1756999,0.17442882,What words in the English have two u 's back to back ?
1,2,2.571385,0.15327075,0.17348914,0.20963019,0.1373099,0.17441253,0.15188743,What is a softball made of ?
4,1,2.5710456,0.14354607,0.20440197,0.16710712,0.13404283,0.17966542,0.17123653,"Where can I find up-to-date coastal ocean surface temperature information , preferably along North America and the Caribbean ?"
4,4,2.5703583,0.1315344,0.18621439,0.17142272,0.1377257,0.18709002,0.18601274,Which continent has the most roses ?
5,1,2.569688,0.14586402,0.20093971,0.188094,0.13253626,0.178119,0.15444694,What are bottle caps with presidents ' pictures inside worth ?
5,5,2.5690842,0.13409042,0.17195089,0.18679427,0.13452338,0.17420919,0.19843186,How many Community Chest cards are there in Monopoly ?
2,2,2.5686896,0.14498796,0.18225645,0.20834844,0.13039482,0.16757749,0.16643491,What is the circumorbital hematoma ?
1,2,2.5684905,0.12780423,0.14503573,0.19586618,0.1578165,0.18426909,0.18920824,What vehicles are raced in the Tour de France ?
